PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Benin,,2020-08-04,1,1,0,1,0,2,1,2,1,0,0,0
0,Burkina Faso,,2020-08-01,1,1,1,2,0,2,0,1,0,1,0,3
0,Burkina Faso,,2020-08-02,0,1,1,0,1,1,0,2,1,1,1,2
0,Burkina Faso,,2020-08-03,1,1,1,0,0,2,1,3,1,0,1,3
0,Burkina Faso,,2020-08-04,0,1,1,1,0,0,0,0,1,1,0,2
0,Bangladesh,,2020-08-01,2,1,0,1,0,2,1,0,1,2,1,1
0,Bangladesh,,2020-08-02,2,2,0,2,0,1,1,3,0,1,0,1
0,Bangladesh,,2020-08-03,0,2,1,2,1,1,0,1,0,1,0,2
0,Bangladesh,,2020-08-04,2,1,1,2,1,2,0,3,1,2,0,2
0,Bulgaria,,2020-08-01,2,1,1,0,1,2,1,0,0,2,0,2
0,Bulgaria,,2020-08-02,1,0,0,1,1,2,0,2,1,2,0,2
0,Bulgaria,,2020-08-03,2,0,0,1,0,0,0,1,0,1,1,3
0,Bulgaria,,2020-08-04,1,0,1,0,1,1,0,2,1,2,0,1
0,Bahrain,,2020-08-01,1,2,1,2,0,0,0,3,0,1,0,0
0,Bahrain,,2020-08-02,0,1,1,3,1,0,0,3,0,2,0,1
0,Bahrain,,2020-08-03,1,0,1,3,1,0,0,2,1,2,1,0
0,Bahrain,,2020-08-04,1,0,1,1,0,2,0,1,0,2,0,2
0,Bahamas,,2020-08-01,1,0,1,0,0,1,1,2,0,0,1,3
0,Bahamas,,2020-08-02,2,0,0,1,1,2,0,1,1,1,1,1
0,Bahamas,,2020-08-03,0,1,0,3,1,1,0,2,0,2,1,1
0,Bahamas,,2020-08-04,0,2,0,3,0,0,0,0,1,1,1,1
0,Bosnia and Herzegovina,,2020-08-01,2,1,0,3,1,1,0,2,0,1,1,0
0,Bosnia and Herzegovina,,2020-08-02,2,0,0,2,1,1,1,1,0,1,1,2
0,Bosnia and Herzegovina,,2020-08-03,0,1,1,0,1,0,1,2,1,0,0,2
0,Bosnia and Herzegovina,,2020-08-04,1,2,0,1,0,0,1,3,0,1,0,0
0,Belarus,,2020-08-01,0,2,0,3,1,0,1,0,1,1,0,1
0,Belarus,,2020-08-02,2,2,0,2,0,0,1,3,1,0,0,2
0,Belarus,,2020-08-03,0,0,0,0,0,0,0,1,1,2,0,1
0,Belarus,,2020-08-04,2,1,0,2,0,0,1,2,0,0,1,3
0,Belize,,2020-08-01,0,0,1,1,1,2,1,3,1,2,1,1
0,Belize,,2020-08-02,1,2,0,1,1,1,0,0,0,2,1,1
0,Belize,,2020-08-03,0,1,0,2,0,1,0,0,1,1,0,3
0,Belize,,2020-08-04,2,1,1,1,1,1,1,2,0,2,0,0
0,Bermuda,,2020-08-01,1,1,0,2,1,0,0,1,1,1,0,3
0,Bermuda,,2020-08-02,2,0,0,1,0,0,0,0,1,1,0,2
0,Bermuda,,2020-08-03,0,1,0,2,0,0,0,0,0,1,1,3
0,Bermuda,,2020-08-04,2,1,0,0,0,0,1,0,1,1,0,1
0,Bolivia,,2020-08-01,2,1,0,2,1,1,0,2,0,0,1,3
0,Bolivia,,2020-08-02,2,1,0,3,1,1,0,0,1,0,1,1
0,Bolivia,,2020-08-03,1,1,1,0,0,1,1,2,0,1,1,0
0,Bolivia,,2020-08-04,0,1,0,3,1,0,0,0,1,0,0,0
0,Brazil,,2020-08-01,2,0,1,3,1,2,0,3,1,0,1,3
0,Brazil,,2020-08-02,0,0,0,2,1,1,0,1,0,1,1,3
0,Brazil,,2020-08-03,2,0,1,0,0,1,0,3,0,2,1,0
0,Brazil,,2020-08-04,1,2,1,0,1,2,1,3,0,0,1,3
0,Barbados,,2020-08-01,1,1,1,2,0,1,0,1,0,1,1,0
0,Barbados,,2020-08-02,2,1,0,2,1,0,0,0,1,0,1,2
0,Barbados,,2020-08-03,1,1,0,3,0,0,0,0,0,1,0,3
0,Barbados,,2020-08-04,0,2,1,0,1,0,1,3,1,2,0,2
0,Brunei,,2020-08-01,0,2,0,1,0,1,0,2,0,0,0,3
0,Brunei,,2020-08-02,0,0,0,1,0,2,1,2,1,2,1,0
0,Brunei,,2020-08-03,0,1,0,3,0,2,0,3,1,2,1,3
0,Brunei,,2020-08-04,0,2,0,0,0,1,0,2,1,2,0,2
0,Bhutan,,2020-08-01,2,2,0,2,1,1,1,0,0,1,1,1
0,Bhutan,,2020-08-02,2,2,0,1,0,2,0,2,1,2,0,1
0,Bhutan,,2020-08-03,0,0,0,0,1,0,0,3,1,0,0,3
0,Bhutan,,2020-08-04,2,1,1,3,1,2,0,1,1,2,1,3
0,Botswana,,2020-08-01,1,2,0,2,0,0,1,2,0,0,1,1
0,Botswana,,2020-08-02,1,2,0,3,1,0,1,1,0,0,0,1
0,Botswana,,2020-08-03,1,1,1,3,1,2,1,2,1,1,0,2
0,Botswana,,2020-08-04,0,0,1,3,0,0,1,2,1,2,0,2
0,Central African Republic,,2020-08-01,1,1,0,1,0,1,1,2,1,0,0,2
0,Central African Republic,,2020-08-02,2,1,0,2,1,1,1,2,1,2,0,3
0,Central African Republic,,2020-08-03,0,2,1,3,0,1,1,0,1,0,1,3
0,Central African Republic,,2020-08-04,2,0,1,2,1,0,0,0,1,2,0,0
0,Canada,,2020-08-01,0,2,0,3,0,1,0,0,0,1,1,2
0,Canada,,2020-08-02,1,2,0,0,1,2,0,2,0,1,0,1
0,Canada,,2020-08-03,2,0,1,1,1,1,1,2,1,1,1,0
0,Canada,,2020-08-04,0,0,0,0,0,2,0,2,1,0,0,1
0,Switzerland,,2020-08-01,0,2,1,1,0,2,1,1,1,1,0,3
0,Switzerland,,2020-08-02,2,0,1,3,1,1,0,1,0,0,1,0
0,Switzerland,,2020-08-03,1,0,0,2,1,2,1,0,1,2,0,3
0,Switzerland,,2020-08-04,2,1,1,3,0,0,1,3,0,0,1,0
0,Chile,,2020-08-01,1,1,1,1,0,0,0,2,0,2,0,1
0,Chile,,2020-08-02,0,0,1,3,1,2,0,2,1,1,1,1
0,Chile,,2020-08-03,2,0,1,1,1,2,0,0,0,1,0,0
0,Chile,,2020-08-04,2,2,1,0,0,0,1,2,0,1,0,1
0,China,,2020-08-01,2,2,0,2,0,1,0,0,0,2,1,3
0,China,,2020-08-02,1,0,1,1,1,0,1,3,0,2,0,3
0,China,,2020-08-03,2,1,1,0,1,1,0,2,1,2,0,3
0,China,,2020-08-04,2,0,0,0,0,0,1,3,0,0,0,0
0,Cote d'Ivoire,,2020-08-01,1,1,0,1,1,0,1,3,1,1,0,2
0,Cote d'Ivoire,,2020-08-02,2,2,1,0,1,0,1,1,0,2,1,2
0,Cote d'Ivoire,,2020-08-03,1,0,0,1,1,0,0,3,0,1,0,1
0,Cote d'Ivoire,,2020-08-04,0,0,1,1,1,2,1,1,1,1,1,2
0,Cameroon,,2020-08-01,2,1,1,3,1,2,1,3,1,0,1,2
0,Cameroon,,2020-08-02,0,1,1,1,0,2,1,2,0,2,0,1
0,Cameroon,,2020-08-03,0,1,1,3,1,0,1,0,1,1,0,2
0,Cameroon,,2020-08-04,0,1,0,3,1,1,0,3,0,2,1,2
0,Democratic Republic of Congo,,2020-08-01,1,2,1,2,0,2,0,3,0,1,0,0
0,Democratic Republic of Congo,,2020-08-02,0,0,0,3,1,2,0,0,1,0,0,2
0,Democratic Republic of Congo,,2020-08-03,1,0,1,1,0,1,1,3,0,2,1,3
0,Democratic Republic of Congo,,2020-08-04,0,2,0,3,1,1,0,2,1,0,0,3
0,Congo,,2020-08-01,0,1,0,2,0,2,0,3,1,1,0,3
0,Congo,,2020-08-02,0,0,0,3,1,2,0,0,1,2,0,1
0,Congo,,2020-08-03,1,0,1,3,1,2,0,1,0,0,0,1
0,Congo,,2020-08-04,1,2,0,0,1,2,1,2,1,2,1,0
0,Colombia,,2020-08-01,1,0,1,3,1,0,1,1,1,1,1,0
0,Colombia,,2020-08-02,1,1,0,1,0,0,1,2,0,0,1,2
0,Colombia,,2020-08-03,0,1,0,0,0,1,1,2,0,2,0,0
0,Colombia,,2020-08-04,2,0,0,1,0,2,1,2,1,0,0,2
0,Comoros,,2020-08-01,1,2,1,0,1,2,1,1,1,1,0,0
0,Comoros,,2020-08-02,1,1,0,0,0,0,0,2,0,0,0,0
0,Comoros,,2020-08-03,0,0,1,0,0,0,1,2,0,2,0,2
0,Comoros,,2020-08-04,2,2,0,1,1,0,1,0,0,1,1,1
0,Cape Verde,,2020-08-01,2,1,0,2,0,0,0,3,0,2,0,0
0,Cape Verde,,2020-08-02,0,0,0,0,1,2,1,0,1,1,0,2
0,Cape Verde,,2020-08-03,2,0,1,0,0,1,0,0,1,0,0,0
0,Cape Verde,,2020-08-04,0,1,1,3,0,1,0,0,0,1,0,0
0,Costa Rica,,2020-08-01,2,1,1,1,1,1,1,1,0,2,1,1
0,Costa Rica,,2020-08-02,1,0,0,0,1,1,1,1,0,1,1,0
0,Costa Rica,,2020-08-03,0,1,0,1,0,2,0,2,1,2,1,0
0,Costa Rica,,2020-08-04,1,0,1,0,0,1,0,2,1,0,0,2
0,Cuba,,2020-08-01,2,2,1,0,0,1,0,0,0,2,1,0
0,Cuba,,2020-08-02,1,2,0,1,0,1,1,2,0,1,0,2
0,Cuba,,2020-08-03,1,2,1,0,1,0,1,2,0,1,0,1
0,Cuba,,2020-08-04,2,2,0,3,0,0,0,1,0,0,1,3
0,Cyprus,,2020-08-01,1,2,1,0,1,0,0,3,1,0,0,2
0,Cyprus,,2020-08-02,1,0,0,2,0,2,1,0,1,0,0,3
0,Cyprus,,2020-08-03,2,0,0,0,0,0,1,2,0,0,1,3
0,Cyprus,,2020-08-04,0,0,0,1,0,2,0,1,1,2,1,2
0,Czech Republic,,2020-08-01,0,1,1,1,1,1,1,3,1,1,0,1
0,Czech Republic,,2020-08-02,0,1,1,0,0,1,1,0,1,1,0,0
0,Czech Republic,,2020-08-03,1,1,0,1,1,1,1,2,1,1,1,3
0,Czech Republic,,2020-08-04,0,2,1,1,1,2,0,0,1,2,0,2
0,Germany,,2020-08-01,1,0,0,2,0,0,1,0,0,2,0,0
0,Germany,,2020-08-02,2,1,1,1,0,1,1,3,0,1,1,0
0,Germany,,2020-08-03,2,1,1,1,0,1,1,0,1,1,1,1
0,Germany,,2020-08-04,2,1,0,1,1,2,0,2,0,0,1,3
0,Djibouti,,2020-08-01,0,2,1,3,1,2,1,1,0,1,1,1
0,Djibouti,,2020-08-02,0,1,1,1,0,2,0,0,1,1,0,3
0,Djibouti,,2020-08-03,1,1,1,0,1,2,1,2,0,1,0,2
0,Djibouti,,2020-08-04,0,2,0,0,0,0,0,1,0,2,1,2
0,Dominica,,2020-08-01,1,1,1,3,1,1,1,1,1,1,0,1
0,Dominica,,2020-08-02,0,0,1,0,0,0,1,3,0,1,1,2
0,Dominica,,2020-08-03,1,0,1,2,0,2,0,2,0,0,0,3
0,Dominica,,2020-08-04,0,2,1,3,0,2,0,3,1,1,1,3
0,Denmark,,2020-08-01,0,0,1,3,0,1,0,3,1,0,1,2
0,Denmark,,2020-08-02,1,2,0,2,1,0,0,2,1,2,0,3
0,Denmark,,2020-08-03,2,0,1,2,0,1,1,1,0,2,1,0
0,Denmark,,2020-08-04,0,1,0,1,1,1,0,0,0,0,1,0
0,Dominican Republic,,2020-08-01,2,1,0,0,0,1,0,0,1,1,1,3
0,Dominican Republic,,2020-08-02,0,2,1,2,0,1,1,0,0,0,1,1
0,Dominican Republic,,2020-08-03,1,2,1,3,1,2,0,3,0,0,0,3
0,Dominican Republic,,2020-08-04,2,1,1,1,1,1,0,1,1,1,1,3
0,Algeria,,2020-08-01,2,0,0,2,1,2,0,1,1,0,1,2
0,Algeria,,2020-08-02,0,0,1,2,1,1,0,2,1,0,0,1
0,Algeria,,2020-08-03,0,0,1,3,0,2,1,3,1,1,1,1
0,Algeria,,2020-08-04,2,2,1,3,1,1,0,3,1,2,1,1
0,Ecuador,,2020-08-01,0,0,1,0,1,1,1,3,0,0,1,0
0,Ecuador,,2020-08-02,0,1,1,2,1,1,1,2,1,0,0,0
0,Ecuador,,2020-08-03,0,2,0,0,0,2,0,0,0,1,1,3
0,Ecuador,,2020-08-04,0,0,0,0,1,0,0,2,1,0,0,0
0,Egypt,,2020-08-01,2,1,0,3,0,2,0,2,1,2,0,2
0,Egypt,,2020-08-02,1,1,0,0,0,0,1,0,1,0,0,0
0,Egypt,,2020-08-03,1,1,0,0,1,2,1,0,0,1,1,2
0,Egypt,,2020-08-04,2,0,0,2,0,2,0,2,0,2,1,0
0,Eritrea,,2020-08-01,1,0,0,1,0,2,0,2,0,1,0,0
0,Eritrea,,2020-08-02,1,1,1,2,0,2,0,0,1,0,0,0
0,Eritrea,,2020-08-03,0,1,1,2,0,1,0,0,1,0,0,2
0,Eritrea,,2020-08-04,0,1,1,1,0,0,0,1,0,0,0,1
0,Spain,,2020-08-01,1,2,0,2,0,0,1,3,1,0,0,1
0,Spain,,2020-08-02,2,1,1,1,0,0,0,3,0,1,1,3
0,Spain,,2020-08-03,2,1,1,0,1,0,0,2,1,1,0,2
0,Spain,,2020-08-04,0,0,1,3,0,2,0,0,1,1,0,0
0,Estonia,,2020-08-01,1,0,1,1,1,1,0,1,0,2,1,3
0,Estonia,,2020-08-02,1,2,0,3,1,2,0,0,0,2,0,1
0,Estonia,,2020-08-03,0,1,1,3,1,2,0,0,0,0,1,2
0,Estonia,,2020-08-04,1,0,1,2,0,1,1,2,1,1,1,0
0,Ethiopia,,2020-08-01,0,2,1,0,0,1,1,1,1,2,1,1
0,Ethiopia,,2020-08-02,1,1,1,3,0,0,1,3,1,1,1,1
0,Ethiopia,,2020-08-03,2,1,1,1,0,1,0,0,0,2,0,1
0,Ethiopia,,2020-08-04,2,0,0,1,1,0,0,3,1,2,0,1
0,Finland,,2020-08-01,1,0,0,2,0,2,0,2,1,0,1,3
0,Finland,,2020-08-02,1,0,1,2,1,0,0,1,1,1,1,3
0,Finland,,2020-08-03,1,2,1,0,1,2,0,0,1,0,0,3
0,Finland,,2020-08-04,0,1,1,0,1,1,0,2,0,2,0,0
0,Fiji,,2020-08-01,0,2,1,1,0,0,1,0,1,2,0,3
0,Fiji,,2020-08-02,2,2,0,1,1,2,0,3,1,2,0,1
0,Fiji,,2020-08-03,0,2,1,0,0,0,0,0,1,1,1,2
0,Fiji,,2020-08-04,2,0,0,1,1,1,1,3,0,0,0,2
0,France,,2020-08-01,1,1,1,2,1,1,0,3,1,0,0,0
0,France,,2020-08-02,1,1,1,2,1,0,1,0,0,1,1,3
0,France,,2020-08-03,1,0,1,3,1,1,0,1,0,1,0,3
0,France,,2020-08-04,0,1,0,2,0,0,0,3,1,1,0,1
0,Faeroe Islands,,2020-08-01,1,2,0,2,0,0,0,0,1,2,0,2
0,Faeroe Islands,,2020-08-02,2,0,1,1,0,2,0,3,0,0,1,0
0,Faeroe Islands,,2020-08-03,2,1,0,2,0,2,1,3,1,0,0,3
0,Faeroe Islands,,2020-08-04,0,1,0,2,0,1,1,1,1,1,1,3
0,Gabon,,2020-08-01,1,0,0,0,1,0,0,2,1,2,1,2
0,Gabon,,2020-08-02,0,1,0,2,1,1,0,3,1,2,1,1
0,Gabon,,2020-08-03,1,1,1,2,1,2,0,2,1,1,0,0
0,Gabon,,2020-08-04,0,0,1,3,0,0,0,0,0,2,0,1
0,United Kingdom,,2020-08-01,2,1,1,0,0,2,1,1,0,0,0,1
0,United Kingdom,,2020-08-02,0,1,0,2,1,2,1,2,1,0,0,3
0,United Kingdom,,2020-08-03,2,0,0,1,0,0,1,3,1,0,1,0
0,United Kingdom,,2020-08-04,2,0,0,0,1,1,1,1,0,1,1,2
0,United Kingdom,England,2020-08-01,1,1,0,1,1,1,1,1,1,2,1,0
0,United Kingdom,England,2020-08-02,2,1,0,0,1,0,1,0,0,0,1,2
0,United Kingdom,England,2020-08-03,1,1,0,2,0,2,1,0,0,1,0,2
0,United Kingdom,England,2020-08-04,0,0,0,2,1,2,0,3,1,1,0,3
0,United Kingdom,Northern Ireland,2020-08-01,0,0,1,3,1,2,0,3,1,0,0,2
0,United Kingdom,Northern Ireland,2020-08-02,0,2,1,1,0,2,0,0,0,1,0,1
0,United Kingdom,Northern Ireland,2020-08-03,0,1,0,0,1,2,0,3,0,0,1,3
0,United Kingdom,Northern Ireland,2020-08-04,0,0,1,1,0,1,0,3,1,2,1,1
0,United Kingdom,Scotland,2020-08-01,2,1,1,1,0,2,0,0,1,0,0,1
0,United Kingdom,Scotland,2020-08-02,0,1,0,2,1,1,1,3,1,2,1,1
0,United Kingdom,Scotland,2020-08-03,0,0,1,3,1,1,1,3,0,1,1,3
0,United Kingdom,Scotland,2020-08-04,1,1,0,1,0,0,1,0,0,0,1,0
0,United Kingdom,Wales,2020-08-01,1,0,1,3,0,1,0,3,0,1,1,0
0,United Kingdom,Wales,2020-08-02,1,0,0,1,1,1,1,2,0,1,1,0
0,United Kingdom,Wales,2020-08-03,2,2,0,2,1,1,0,1,0,2,1,0
0,United Kingdom,Wales,2020-08-04,1,2,1,2,0,0,1,0,1,2,1,3
0,Georgia,,2020-08-01,1,1,0,0,1,1,0,0,0,1,1,1
0,Georgia,,2020-08-02,0,1,0,1,1,1,1,1,1,2,1,2
0,Georgia,,2020-08-03,0,1,1,2,0,1,1,1,1,2,0,2
0,Georgia,,2020-08-04,2,0,1,0,0,1,1,0,1,0,0,3
0,Ghana,,2020-08-01,0,1,0,1,1,1,1,3,0,1,0,0
0,Ghana,,2020-08-02,1,2,1,2,0,0,0,3,1,0,0,1
0,Ghana,,2020-08-03,2,2,1,2,1,2,0,3,0,1,0,0
0,Ghana,,2020-08-04,1,2,0,1,1,2,1,0,0,2,1,2
0,Guinea,,2020-08-01,0,1,0,2,0,2,0,1,1,0,0,1
0,Guinea,,2020-08-02,1,0,1,1,1,1,1,1,1,2,1,1
0,Guinea,,2020-08-03,2,2,0,3,1,1,1,0,1,2,0,0
0,Guinea,,2020-08-04,1,1,0,3,1,0,0,2,0,1,0,2
0,Gambia,,2020-08-01,0,1,0,1,1,2,0,3,1,0,0,0
0,Gambia,,2020-08-02,2,2,1,0,0,2,1,0,0,0,1,3
0,Gambia,,2020-08-03,0,1,0,2,1,1,0,0,0,0,0,1
0,Gambia,,2020-08-04,1,1,1,1,0,2,0,2,0,1,0,3
0,Greece,,2020-08-01,1,0,1,0,0,2,1,1,1,0,0,0
0,Greece,,2020-08-02,2,1,1,2,0,1,1,3,1,2,0,1
0,Greece,,2020-08-03,1,1,0,0,1,0,0,3,0,1,0,1
0,Greece,,2020-08-04,1,0,1,1,0,0,0,1,1,2,0,1
0,Greenland,,2020-08-01,2,1,0,0,0,1,0,0,0,1,1,3
0,Greenland,,2020-08-02,0,0,0,2,1,1,0,2,0,1,0,3
0,Greenland,,2020-08-03,1,0,0,0,1,1,1,0,0,1,0,1
0,Greenland,,2020-08-04,1,2,0,0,1,2,1,0,0,0,1,3
0,Guatemala,,2020-08-01,0,0,0,2,0,0,1,0,1,2,0,2
0,Guatemala,,2020-08-02,1,0,0,3,0,1,1,2,0,0,1,1
0,Guatemala,,2020-08-03,0,0,1,2,0,1,1,3,0,2,0,0
0,Guatemala,,2020-08-04,2,1,0,1,1,2,1,1,0,0,1,0
0,Guam,,2020-08-01,1,2,0,1,1,0,1,2,1,2,0,1
0,Guam,,2020-08-02,2,2,0,2,0,0,1,3,0,1,0,1
0,Guam,,2020-08-03,0,1,1,1,0,1,1,2,1,2,0,0
0,Guam,,2020-08-04,0,1,1,1,0,0,0,3,0,1,0,3
0,Guyana,,2020-08-01,1,2,1,2,0,1,1,2,1,1,1,1
0,Guyana,,2020-08-02,1,1,0,3,0,2,0,2,1,1,1,1
0,Guyana,,2020-08-03,1,0,1,1,0,0,1,1,0,1,0,1
0,Guyana,,2020-08-04,1,2,1,2,1,0,0,1,1,1,0,2
0,Hong Kong,,2020-08-01,2,2,1,2,0,0,1,0,0,0,0,0
0,Hong Kong,,2020-08-02,0,2,0,2,0,2,1,0,1,1,0,0
0,Hong Kong,,2020-08-03,1,1,0,0,0,2,0,3,1,0,1,0
0,Hong Kong,,2020-08-04,2,1,0,0,1,1,0,0,1,1,0,1
0,Honduras,,2020-08-01,2,2,0,1,0,0,0,3,0,1,0,0
0,Honduras,,2020-08-02,2,1,0,0,1,2,0,2,0,2,0,1
0,Honduras,,2020-08-03,0,1,0,0,0,1,0,0,0,2,0,2
0,Honduras,,2020-08-04,1,2,0,1,1,2,1,1,1,0,0,3
0,Croatia,,2020-08-01,2,0,1,1,1,2,0,2,1,0,0,3
0,Croatia,,2020-08-02,1,1,1,0,0,0,1,3,0,1,0,0
0,Croatia,,2020-08-03,0,2,0,2,0,0,1,0,1,2,1,2
0,Croatia,,2020-08-04,0,2,0,0,1,1,0,1,0,1,0,0
0,Haiti,,2020-08-01,1,0,1,1,0,2,1,1,1,1,0,0
0,Haiti,,2020-08-02,2,0,0,2,0,0,0,1,1,0,0,0
0,Haiti,,2020-08-03,0,1,0,0,0,1,1,2,0,0,0,1
0,Haiti,,2020-08-04,2,2,0,3,0,2,0,1,1,1,0,1
0,Hungary,,2020-08-01,2,2,1,2,1,0,1,0,1,1,0,3
0,Hungary,,2020-08-02,0,0,0,0,0,2,1,3,0,1,0,3
0,Hungary,,2020-08-03,2,1,1,1,0,2,0,1,0,2,0,0
0,Hungary,,2020-08-04,2,0,0,1,1,2,0,1,1,0,0,1
0,Indonesia,,2020-08-01,1,0,1,3,0,2,1,1,1,1,0,3
0,Indonesia,,2020-08-02,2,0,1,3,1,1,1,1,0,2,0,3
0,Indonesia,,2020-08-03,0,0,0,1,0,2,1,1,0,2,1,0
0,Indonesia,,2020-08-04,2,0,0,2,1,0,0,1,0,2,1,0
0,India,,2020-08-01,2,1,0,0,0,1,1,0,1,1,0,0
0,India,,2020-08-02,0,1,0,2,0,0,0,0,0,1,0,2
0,India,,2020-08-03,1,2,1,1,0,1,0,2,1,1,0,2
0,India,,2020-08-04,0,2,0,1,1,0,0,2,0,1,1,3
0,Ireland,,2020-08-01,0,1,0,2,1,2,1,3,1,2,1,3
0,Ireland,,2020-08-02,2,1,1,3,1,0,0,3,1,1,0,2
0,Ireland,,2020-08-03,2,0,1,1,1,2,1,2,1,0,1,2
0,Ireland,,2020-08-04,0,1,0,0,0,2,1,0,0,2,1,0
0,Iran,,2020-08-01,1,0,0,1,0,2,0,2,0,0,1,3
0,Iran,,2020-08-02,2,0,0,0,0,2,1,3,0,1,1,0
0,Iran,,2020-08-03,1,0,0,0,0,1,1,3,1,1,0,1
0,Iran,,2020-08-04,2,2,0,1,1,0,1,1,0,2,0,3
0,Iraq,,2020-08-01,2,2,0,3,1,0,0,0,1,2,1,3
0,Iraq,,2020-08-02,2,0,1,2,0,0,1,2,1,0,1,2
0,Iraq,,2020-08-03,0,2,0,0,0,1,1,3,0,1,0,0
0,Iraq,,2020-08-04,1,1,0,1,1,1,0,2,0,0,0,2
0,Iceland,,2020-08-01,0,2,0,2,0,0,1,2,0,0,0,3
0,Iceland,,2020-08-02,0,1,1,1,0,1,0,1,0,0,1,0
0,Iceland,,2020-08-03,1,0,1,2,1,2,1,0,0,2,0,2
0,Iceland,,2020-08-04,1,1,0,0,1,0,0,3,0,0,0,1
